,author,like_count,comment,authorImage
115,_DhomasKenconoPrasetyo-ey6qd,0,BE YOURSELF AND NEVER SURRENDER SUCCESS FOR YOU AND FAMILY YOU ARE THE BEST INSPIRATION FOR EVERYONE STAY HEALTHY AND SAFE YOU AND,https://yt3.ggpht.com/ytc/AIdro_nk0jgxE2q8yz1nfNoAtyEyClRXPbLbOqDeUSWkOC4=s48-c-k-c0x00ffffff-no-rj
116,_SivaCahyaNugraha,0,Be your self and never surender,https://yt3.ggpht.com/ytc/AIdro_n_FaaWK9OhWeviofaw74f2snFbIWubePeumnSTJ-E=s48-c-k-c0x00ffffff-no-rj
117,habibdwiprajoto2459,0,Mantul sangad,https://yt3.ggpht.com/ytc/AIdro_lbn1Va_nVqwTqR9Ot0oNkuCIQ40dQ3gdfWMnegijALCBng=s48-c-k-c0x00ffffff-no-rj
118,ellynawidyaningrum2787,0,"Semoga semakin maju, dan kreatif.",https://yt3.ggpht.com/ytc/AIdro_nEmRqqytRELHPCwGaoWK_HcbMlyQYtj4qw42eCKhZYTHUq=s48-c-k-c0x00ffffff-no-rj
119,_MuhammadFarhanHSangadji,0,"kampus terbaik, bangga!",https://yt3.ggpht.com/ytc/AIdro_kN8ll5wBc8UdUTkGxjJUrucCiQGGaBcJ24kDDy5fbVZdM=s48-c-k-c0x00ffffff-no-rj
120,muhammadroyyansaputra3482,0,keren lah universitas amikom .mengedepan tentang entrepeaneur  apalagi jurusan ilmu komputer sangat menantang dan ada final projrct yang sangat membuat mahasiswa lebih kreaif,https://yt3.ggpht.com/ytc/AIdro_mpIv90J8fJGGfUe-fD6l0fChdCqtiBx3bMczBy-jQ=s48-c-k-c0x00ffffff-no-rj
121,Muhfajrianiskandar,0,Universitas palin up to date di bidang teknologi,https://yt3.ggpht.com/ytc/AIdro_m8TKChlKCHvJip6Gr7D9BqJhZ3pnSNtg1AUUzMfVg=s48-c-k-c0x00ffffff-no-rj
122,aliefdewanairiawan2049,1,Salah satu universitas terbaik di Yogyakarta,https://yt3.ggpht.com/ytc/AIdro_mB-h8gNt6fJO3YzIi2d3QZ8RZyj7L4fATcdkRGNbk=s48-c-k-c0x00ffffff-no-rj
123,ridhomahendra9609,1,"BE YOURSELF AND NEVER SURRENDERSUCCESS FOR YOU AND FAMILYYOU ARE THE BESTINSPIRATION FOR EVERYONESTAY HEALTHY AND SAFE YOU AND FAMILYSTAY HOME AND GOODLUCK",https://yt3.ggpht.com/ytc/AIdro_mrWvNOie43isJWpGMO6T2_zkFHAL90A5469wuF43ZO9w=s48-c-k-c0x00ffffff-no-rj
124,renoarifigar,1,Mantap AMIKOM !,https://yt3.ggpht.com/ytc/AIdro_mw4Vevp6zLrfONfK-Y0HnVjacnMRxKI7m7ZVuhqh0w9jGl=s48-c-k-c0x00ffffff-no-rj
125,renoalanepradino2304,2,Terus Melangkah Menggapai Masa Depan,https://yt3.ggpht.com/ytc/AIdro_nG4zL-lvrexxd0XsRDjL8yTQSGjViDfI9qDI-DKpA=s48-c-k-c0x00ffffff-no-rj
126,g_mochakbarmaulana4295,1,Mood Booster.,https://yt3.ggpht.com/ytc/AIdro_naHHs-vFrAC_pNSPhLvKqLr0nGyLVIhaZxMHgEsrAU958=s48-c-k-c0x00ffffff-no-rj
127,Chan-xz1jr,2,Creative economy park!,https://yt3.ggpht.com/ytc/AIdro_k4iInJDgUrpWegjcIKUfRFeT1_beDx7xmfdt_ZYsg=s48-c-k-c0x00ffffff-no-rj
128,rarakinasih4386,1,Maju terus amikom yogyakarta,https://yt3.ggpht.com/ytc/AIdro_kV90VqiS1KPnvZYOARlHX6TMwWsxctwf6SAp4IIJ8nAic=s48-c-k-c0x00ffffff-no-rj
129,wahyupurnomojati3500,2,Semangat! Dan terus maju!,https://yt3.ggpht.com/ytc/AIdro_mQGxF6NfV65yGR8QXAzyHmiOXCNw4e9T2tWjzsnCU3SYk=s48-c-k-c0x00ffffff-no-rj
130,muhasror4413,1,"Mantab, Kampus Masa kini",https://yt3.ggpht.com/ytc/AIdro_leKjQIP4gFQmRhzJJWzaut8ZhLqtHScaojEeU-uCQGzA=s48-c-k-c0x00ffffff-no-rj
131,muhammadrezafernanda9779,1,Amikom be debest.. parahh men...,https://yt3.ggpht.com/ytc/AIdro_mIY0YWhztbrZKVy8UIxN8Zeb8IqcvSS6J3retL5iI=s48-c-k-c0x00ffffff-no-rj
132,GalihLana,2,Saya bangga kuliah di Amikom. sukses selalu!!!,https://yt3.ggpht.com/VzOkkWgHzXxNYdUfn4TAKPk_pDn_6fmbJDj8VOHoy_XgUeCKStfB7pQHAi7p0a2eQyH-8FKn-aY=s48-c-k-c0x00ffffff-no-rj
133,hafidd8818,1,maju terus kampus berdasi,https://yt3.ggpht.com/ytc/AIdro_m78pK_5-Oznzhdd0DWHQj77YybDurkQdiPPM3dgZeghpo=s48-c-k-c0x00ffffff-no-rj
134,MohAldiFachryAlamsyah,1,"BE YOURSELF AND NEVER SURRENDERSUCCESS FOR YOU AND FAMILYYOU ARE THE BESTINSPIRATION FOR EVERYONESTAY HEALTHY AND SAFE YOU AND FAMILYSTAY HOME AND GOODLUCK",https://yt3.ggpht.com/ytc/AIdro_kwsDx_wGZ4wQNZ0DpBLhLE1Yv2FOfCgFFALBSqNNSUDw=s48-c-k-c0x00ffffff-no-rj
135,ekasusi6029,4,"Alhamdulillah Amikom sekarang keren bgt,lw aku dulu kuliah th 1997 masih biasa aja,sukses terus bt Amikom",https://yt3.ggpht.com/ytc/AIdro_k93G-iG3IUHvZrKIpf4iuHMRHKx9mGOAbii68jhR4=s48-c-k-c0x00ffffff-no-rj
136,lenifitri8905,0,QUICK DGAAEQs,https://yt3.ggpht.com/ytc/AIdro_nxXvzeV0vVYUGkIVwzOyeTEvLWDx0ht3Uahr0mGo8=s48-c-k-c0x00ffffff-no-rj
137,riorenleo1781,2,"Universitas Modern, Kampus masa kini. Semoga semakin Berkembang!",https://yt3.ggpht.com/ytc/AIdro_kng_o0GeTI4yP8PFQ6-Z85AYvqmewKSlhdIcPybjZGmjI=s48-c-k-c0x00ffffff-no-rj
138,wahyuhendrasulistiawan8775,1,"Mantap, masuk isi aja wkw",https://yt3.ggpht.com/ytc/AIdro_lZzbpXK9Nrrj7ceNwciEUiUnVXSr7jKz1k-f2eTEzzC7hu=s48-c-k-c0x00ffffff-no-rj
139,nandanw2409,2,Kesini gr2 iklan muncul trosss,https://yt3.ggpht.com/ytc/AIdro_nAAmzHgieV47PGQ36ksBxsX3v8XUeA3bLgyr8f8VO0r2U=s48-c-k-c0x00ffffff-no-rj
140,atmajiamikom1462,2,Mantab amikom maju terus,https://yt3.ggpht.com/ytc/AIdro_lPawA4VizF2NASMxYZOBno_AfvvnIcF74kfkewFNC_mw=s48-c-k-c0x00ffffff-no-rj
141,istiningsihsurwiyanta4507,2,AMIKOM KUUU😘😘😘👍👍👍,https://yt3.ggpht.com/ytc/AIdro_lL1OkqRwQU-kj3RH_3feqGkcd5zVyYDD7IIWNVidQ=s48-c-k-c0x00ffffff-no-rj
142,sh1nnyb0y,3,"&quot;BE YOUR SELF AND NEVER SURENDER&quot;&quot;JUST ONLY ONE YOUTUBERS&quot;&quot;SUCCES FOR AMIKOM &quot;&quot;GOOD JOB AND GOOD LUCK&quot;",https://yt3.ggpht.com/KZGGaDgPMD24JNVdZPEiP3rPfc0vjx6fYdzlA3B0d2wdxx9Mj0z1Stb_NnveGhCP2T2adSVdLw=s48-c-k-c0x00ffffff-no-rj
143,ellarockfikha8441,6,"Kalo gak salah Awal tahun 2013 berkesempatan kunjungan ke universitas AMIKOM (study tour)  . . Paling Amazed sama lab tempat buat animasinya keren banget sih itu, dan waktu itu masih proses setengah jalan animasi yg namanya Musa itu seketika langsung jatuh hati sama universitas ini karena kebetulan SMK ambil jurusan multimedia yg berhubungan dengan animasi jugaMaju terus buat universitas AMIKOM",https://yt3.ggpht.com/BWJ8WVYBMpFU_fnv1H-oAftvtCBDSDHPX4QgmwXAmzvAAx6tmEuzoppReoAOuEIQ4qCcbCDCOwY=s48-c-k-c0x00ffffff-no-rj
144,RuslanAbdul,3,"Alumni 2017 ni, dulu masuk AMIKOM 2014 , makin maju aja 💃",https://yt3.ggpht.com/ytc/AIdro_k9RCvq4wHL6-F2dPeemm7t7rThiT9kVNxUMwcu48vg6dg=s48-c-k-c0x00ffffff-no-rj
145,lukmanadam8991,1,saya senang berkuliah di AMIKOM...,https://yt3.ggpht.com/ytc/AIdro_ndr5dw-bDV81NSRlvV0zwmZGjUx5R1oLpcoUGJbJA=s48-c-k-c0x00ffffff-no-rj
146,yudhatirapamungkas1204,3,BE YOURSELF AND NEVER SURRENDERSUCCESS FOR YOU AND FAMILYYOU ARE THE BESTINSPIRATION FOR EVERYONESTAY HEALTHY AND SAFE YOU AND FAMILYSTAY HOME AND GOODLUCK,https://yt3.ggpht.com/ytc/AIdro_lm9k5IPdHD2yktOds9g9NUjATldN7GC-ac3-Mo1RhmQko=s48-c-k-c0x00ffffff-no-rj
147,ahmadulil9376,2,kuliah mahal&quot; dateng ga di kasih gorengan,https://yt3.ggpht.com/ytc/AIdro_mrmPVQ9AfdOgar10jA-kqpUmxTxSpXTKxm40gF-YF9sg=s48-c-k-c0x00ffffff-no-rj
148,123hizkia,6,Kampus keren fasilitasnya lengkap ayo buruan daftar di AMIKOM,https://yt3.ggpht.com/ytc/AIdro_nk-mBuFf2Uk3bLsXmrULcmTpNfdTWB7fwEbARzMrZINA=s48-c-k-c0x00ffffff-no-rj
